task,trial,rotation_angle_deg,15,21,23,17,13,19,31,29,27,35,11,05,9,25,7,p01
aligned_traning_1,22,0,5.63,-1.14,7.43,7.44,1.35,-1.47,-4.10,-2.46,0.57,0.00,-0.72,-2.51,3.60,-1.37,-2.05,4.82
aligned_traning_1,23,0,-2.65,0.98,-1.27,3.64,2.31,13.93,1.36,-0.59,-1.17,0.41,-1.34,3.03,-1.07,3.87,-0.95,-2.73
aligned_traning_1,24,0,2.92,3.72,-6.44,6.86,-1.05,6.53,7.84,4.98,-0.82,2.12,-4.75,0.25,1.15,4.65,3.54,-5.99
aligned_traning_1,25,0,3.72,-0.26,-3.18,-5.71,-1.19,9.89,5.31,-4.73,3.30,-4.43,nan,3.35,-1.70,-4.90,-1.36,3.87
aligned_traning_1,26,0,5.88,7.69,-0.20,2.33,4.43,-1.25,1.57,2.74,1.55,-1.15,3.22,4.91,2.67,1.41,1.21,5.27
aligned_traning_1,27,0,-1.83,7.80,6.08,-4.43,0.29,0.29,-1.10,-0.82,4.16,-2.99,-6.26,-8.34,-4.76,0.55,0.78,0.25
aligned_traning_1,28,0,0.46,2.12,-6.84,2.04,1.25,-1.96,1.04,nan,3.01,-4.93,-6.72,3.37,-1.28,0.88,-5.81,5.53
aligned_traning_1,29,0,-5.46,3.54,-4.74,4.80,-6.40,-3.49,-2.26,1.48,0.30,1.26,2.90,4.54,1.65,6.21,-4.43,-1.03
aligned_traning_1,30,0,1.87,-2.46,-3.84,-9.67,5.46,0.83,1.21,4.76,1.38,2.78,-1.46,6.34,-2.35,2.44,1.33,-1.81
aligned_traning_1,31,0,-1.67,-1.30,0.77,-2.09,-2.26,5.85,-1.06,-7.96,9.19,4.34,-3.25,3.61,0.18,0.61,-1.62,4.37
aligned_traning_1,32,0,-7.35,5.15,-2.39,9.11,-7.67,0.00,3.01,3.25,3.64,3.21,1.29,-1.83,nan,-3.31,-6.55,-1.46
aligned_traning_1,33,0,-6.34,7.33,4.04,5.71,5.03,0.85,-3.20,4.40,-2.35,-1.50,-0.89,1.15,0.56,-2.12,-6.03,5.83
aligned_traning_1,34,0,6.55,-1.96,-1.96,0.41,-0.20,-0.28,-1.71,9.90,0.83,3.39,0.26,-17.90,-1.31,3.84,-3.83,4.04
aligned_traning_1,35,0,-5.34,4.46,5.19,-0.55,3.30,4.92,-2.79,0.53,5.75,-1.09,-7.36,nan,-3.85,1.71,nan,-1.32
aligned_traning_1,36,0,-4.57,10.32,-2.96,2.97,2.74,9.53,8.82,6.04,0.63,-3.56,-2.09,-0.86,6.38,1.84,-3.32,1.96
aligned_traning_1,37,0,14.14,0.56,3.98,0.00,-0.82,11.99,1.94,1.31,6.34,-5.35,0.18,3.79,-1.23,0.64,2.88,2.25
aligned_traning_1,38,0,-8.69,5.71,6.22,9.39,3.12,1.07,-0.20,3.03,7.92,-1.39,3.55,3.70,-0.39,-1.94,-2.14,2.91
aligned_traning_1,39,0,-1.80,-0.21,-3.32,3.46,-5.86,-5.59,7.65,-1.44,4.48,0.30,0.57,1.47,1.48,6.60,-3.05,6.43
aligned_traning_1,40,0,-7.79,-5.75,-4.76,9.23,-0.67,9.53,1.33,3.34,1.96,0.40,-1.89,1.27,-2.81,-3.58,2.02,2.16
aligned_traning_1,41,0,0.92,0.59,-0.55,4.69,-17.61,-3.37,10.82,0.43,1.71,-1.07,-5.81,2.32,-2.60,0.19,nan,1.81
aligned_traning_1,42,0,-3.87,3.24,8.84,-1.39,0.00,4.17,-5.59,6.77,-1.90,-5.12,-0.28,2.68,-4.29,-2.89,5.71,6.52
aligned_traning_1,43,0,8.13,nan,2.39,4.57,-13.57,4.34,2.78,-0.51,7.24,-0.27,-1.03,27.53,-1.47,-1.92,-3.33,-2.52
aligned_traning_1,44,0,1.76,4.28,1.80,4.54,1.74,0.00,-2.85,3.55,5.85,0.99,-0.98,-1.70,-2.51,3.87,2.04,5.82
aligned_traning_1,45,0,2.82,-0.31,-6.19,2.44,6.62,13.83,8.79,3.81,-1.30,2.47,-1.72,4.51,3.01,2.33,4.97,2.88
no-cursor_baseline_1,1,0,-3.28,-16.19,-12.40,-2.29,-0.62,4.93,7.97,-0.81,1.29,0.00,12.31,2.63,-6.20,9.56,-1.57,4.75
no-cursor_baseline_1,2,0,4.53,3.34,-4.81,5.58,8.62,-6.12,-6.53,6.02,2.62,2.65,-1.59,1.08,-6.23,18.71,-3.76,1.87
no-cursor_baseline_1,3,0,6.75,2.27,2.35,1.38,0.98,-1.23,5.48,3.73,1.92,-0.56,-3.07,-4.02,6.41,-2.29,4.51,-3.52
no-cursor_baseline_1,4,0,5.75,-2.06,7.84,7.48,-0.50,5.54,7.13,-2.71,3.58,0.28,0.53,10.59,1.68,10.18,2.13,-2.47
no-cursor_baseline_1,5,0,4.19,-4.70,14.24,-2.41,-0.97,-4.30,5.09,2.99,-2.44,-0.21,5.19,-0.19,2.14,-0.73,6.97,-4.71
no-cursor_baseline_1,6,0,6.01,2.42,15.23,2.97,4.33,-1.74,1.87,3.64,-3.53,4.59,-0.19,5.71,5.12,14.44,4.29,8.43
no-cursor_baseline_1,7,0,4.43,-0.19,14.59,12.25,4.50,-5.34,3.01,-3.18,-2.40,6.84,8.51,1.40,14.88,6.40,2.73,8.24
no-cursor_baseline_1,8,0,9.85,5.94,17.04,-1.87,3.54,-5.23,-1.71,-4.73,5.19,1.24,-2.69,9.09,-10.88,12.97,1.42,-0.91
no-cursor_baseline_1,9,0,7.38,4.24,20.85,6.37,3.56,1.84,5.47,0.56,-1.66,-2.91,-2.71,-0.36,-1.31,18.30,5.50,6.66
aligned_training_2,1,0,-6.34,1.83,3.89,2.90,-11.56,-4.24,-1.03,4.73,11.26,10.32,11.81,0.29,0.47,10.05,5.23,-0.30
aligned_training_2,2,0,3.04,2.99,5.46,5.53,1.19,-1.13,-1.47,7.16,-0.19,2.40,8.67,-9.90,0.16,2.41,0.59,-4.43
aligned_training_2,3,0,1.80,-1.13,0.20,-3.61,-4.01,2.76,10.36,0.59,-0.58,-2.10,-1.99,8.02,2.24,2.69,5.87,-0.41
aligned_training_2,4,0,1.35,0.21,-2.40,-3.81,-2.97,6.07,3.92,3.21,7.57,-3.21,-2.86,2.90,4.67,-1.67,-3.64,3.27
aligned_training_2,5,0,-3.09,-2.09,1.97,7.25,2.17,1.93,0.60,2.41,2.31,-0.73,3.98,15.12,0.73,3.25,4.38,0.86
aligned_training_2,6,0,1.55,7.88,8.25,2.51,7.58,-2.00,0.64,8.38,2.44,-0.59,-8.25,0.20,8.58,1.49,-2.56,6.25
aligned_training_2,7,0,1.34,-2.60,-0.27,4.37,2.02,9.59,4.36,-1.56,-0.58,0.00,-0.80,4.94,-1.74,-1.06,1.02,2.49
aligned_training_2,8,0,2.36,2.06,-1.86,0.86,21.50,7.57,1.71,0.56,7.22,-2.38,3.07,-2.04,-10.06,0.00,9.77,4.40
aligned_training_2,9,0,3.38,2.49,13.50,1.89,-3.56,-3.73,10.39,3.39,0.40,1.63,-5.09,4.59,1.94,13.50,4.79,2.53
aligned_training_2,10,0,-0.42,-0.72,4.97,4.64,-0.22,2.75,6.55,12.87,-4.35,-4.32,-8.05,8.48,-1.06,-2.18,-0.77,2.64
aligned_training_2,11,0,-0.19,-0.26,2.59,-1.21,8.25,1.23,-2.97,11.17,-1.06,6.11,3.10,8.38,-2.66,-1.14,0.83,5.88
aligned_training_2,12,0,3.38,-2.27,1.44,3.76,0.00,1.71,-4.72,1.25,2.02,1.13,-11.73,-5.11,0.95,11.45,5.19,10.97
aligned_training_2,13,0,1.02,-3.81,-2.40,6.57,9.57,-0.85,-1.15,-5.45,5.87,-3.39,0.55,10.44,5.48,2.99,4.53,4.86
aligned_training_2,14,0,-9.40,4.83,-1.31,-0.80,-4.46,1.44,8.19,1.07,-3.85,0.55,-4.76,-2.35,4.98,-1.87,1.68,5.93
aligned_training_2,15,0,3.29,12.11,3.39,6.66,-0.51,2.34,-2.94,0.56,3.03,-2.83,8.66,11.92,nan,2.31,3.45,-2.41
aligned_training_2,16,0,2.91,-0.55,1.19,12.57,nan,6.60,5.80,-1.19,6.59,4.43,3.35,6.62,-7.88,7.13,-2.30,2.56
aligned_training_2,17,0,-11.31,10.92,6.73,-6.87,-0.89,1.83,11.06,0.96,-1.18,-4.56,-1.45,1.04,-4.03,6.38,6.77,3.47
aligned_training_2,18,0,5.27,-18.06,-5.50,0.80,6.30,1.95,2.15,5.73,4.73,-4.51,nan,-1.47,1.38,2.88,11.88,8.60
aligned_training_2,19,0,-0.19,-0.21,-3.16,0.54,-1.25,2.26,1.92,-0.40,9.20,-3.33,0.58,8.47,-3.19,5.46,-0.60,3.74
aligned_training_2,20,0,-3.49,0.55,-2.08,8.01,8.75,3.29,0.19,0.91,1.61,-2.03,-10.74,9.50,3.72,6.15,1.96,1.80
aligned_training_2,21,0,6.88,20.65,4.52,-6.38,-1.70,6.73,0.00,6.64,4.04,4.59,-3.64,0.63,-0.55,0.42,2.95,3.87
no-cursor_baseline_2,1,0,2.09,-1.28,10.08,4.70,-1.69,4.27,-6.55,-3.01,1.04,4.53,-4.72,12.05,-2.34,8.42,7.41,9.72
no-cursor_baseline_2,2,0,10.64,-6.43,6.94,5.52,-4.89,2.99,10.59,-5.77,2.83,1.73,-3.76,4.94,0.00,10.86,4.28,2.23
no-cursor_baseline_2,3,0,3.54,7.19,8.91,2.56,0.59,-2.63,5.58,-1.19,-0.84,-1.60,1.09,3.33,-1.58,19.39,4.24,1.65
no-cursor_baseline_2,4,0,3.93,-5.12,11.65,13.83,4.79,-8.99,-3.37,0.00,4.30,-1.78,14.53,8.95,-0.50,9.99,3.29,3.98
no-cursor_baseline_2,5,0,0.75,0.27,9.27,3.40,7.66,-9.08,9.37,-0.58,11.68,1.78,-5.50,16.73,-2.68,-2.69,3.23,4.93
no-cursor_baseline_2,6,0,5.40,2.00,10.85,0.87,2.44,-2.60,-4.65,4.54,0.60,-0.19,-9.09,-3.79,13.62,17.78,5.23,-0.20
no-cursor_baseline_2,7,0,7.82,0.90,16.00,4.80,-0.53,-3.59,3.80,-3.03,2.11,0.86,-4.96,5.82,1.21,11.65,4.24,9.78
no-cursor_baseline_2,8,0,-2.57,3.20,0.26,9.32,2.02,-3.04,1.92,-1.64,3.81,5.12,-2.31,11.20,-0.79,5.53,3.12,5.87
no-cursor_baseline_2,9,0,9.68,-1.76,20.36,8.64,2.99,3.62,0.64,-1.02,3.56,-4.09,8.59,3.22,-0.50,-4.76,-0.94,-1.11
rotated_training_15,1,-15,-9.56,0.77,10.92,8.37,3.54,4.10,1.37,4.44,3.14,nan,3.30,0.64,-5.07,6.57,nan,-4.51
