task,trial,rotation_angle_deg,34,30,28,16,18,36,22,2,4,24,20,32,10,8,26
aligned_traning_1,24,0,-0.87,1.15,-1.56,4.72,-0.6,-0.19,3.37,4.83,-5.23,0.55,2.56,5.74,-3.85,-4.62,3.69
aligned_traning_1,25,0,-0.63,0,3.28,0.78,-5.07,6.37,7.28,2.26,-7.71,5.43,0.98,2.31,-7.23,0.71,4.96
aligned_traning_1,26,0,10.2,-0.75,4.32,5.77,6.57,-22.17,-6.7,-4.13,-1.43,5.73,4.54,9.44,12.58,-5.23,1.44
aligned_traning_1,27,0,-6.37,-0.59,0,4.95,-2.53,-2.51,-5.19,3.61,-2.29,1.68,7.13,-6.68,1.21,0,-7.49
aligned_traning_1,28,0,-7.83,-4.33,0.21,-4.81,2.65,-1.87,4.78,1.49,-2.04,2.35,-1.03,-4.55,-1.45,0,-2.12
aligned_traning_1,29,0,7.25,-2.78,-2.79,-1.97,1.8,5.43,2.84,5.71,-3.25,6.22,4.51,10.28,-9.03,2.56,5.32
aligned_traning_1,30,0,-7.03,-2.56,-2.38,0.59,11.89,1.74,-5.62,-1.92,0.42,-1.81,0.58,6.45,6.47,2.39,7.15
aligned_traning_1,31,0,2.27,-0.21,6.46,19.23,9.33,1.17,-2.83,-2.11,0.86,4.31,1.29,10.53,-0.54,-1.85,-0.38
aligned_traning_1,32,0,0,2.89,-0.61,nan,2.86,16.81,1.26,2.75,6.61,8.76,-1.26,-1.27,-7.15,3.48,-4.87
aligned_traning_1,33,0,7.57,2.95,nan,9.15,-3.1,-2.86,-0.8,7.84,1.7,2.17,7.33,-4.1,-2.52,0.52,-1.54
aligned_traning_1,34,0,0.2,0.61,-0.49,3.29,2.13,8.21,nan,-2.05,7.77,-2.82,-2.89,-2.25,-0.9,15.58,0.43
aligned_traning_1,35,0,-2.38,6.77,0.65,-0.42,3.95,4.73,0,2.27,1.09,3.4,1.01,11.7,11.31,2.85,0
aligned_traning_1,36,0,-0.31,6.1,4.06,-2.4,6.99,-1.56,2.08,2.73,-2.54,7.49,-1.28,7.54,-7.22,-3.81,-2.59
aligned_traning_1,37,0,1.26,4.79,2.18,-2.54,2.37,1.82,-2.08,5.38,-0.61,2.47,-3.6,9.54,12.39,-20.95,1.18
aligned_traning_1,38,0,-1.97,1.36,-0.35,-8.59,2,0.95,-0.8,6.29,-2.51,-0.81,4.34,-4.18,0,-6.75,1.2
aligned_traning_1,39,0,-0.42,-4.17,-3.98,6.16,1.1,3.71,4.19,6.48,-0.29,0,2.56,6.21,-4.62,-3.43,-3.32
