task,task_type,trial,rotation_angle_deg,15,21,23,17,13,19,2,11,9,1,25,26,7
aligned_training_1,cursor,23,0,-8.02,-3.22,2.59,2.82,-5.81,-0.42,2.06,-3.5,0.19,2.45,0.72,2.33,4.13
aligned_training_1,cursor,24,0,-0.62,17.86,-4.62,6.15,-5.47,2.51,3.63,-3.46,-4.71,-1.87,-4.71,1.8,-0.9
aligned_training_1,cursor,25,0,0,-11.83,-0.19,-2.58,3.23,-4.67,-0.61,8.68,3.63,-2.22,-7.29,-7.9,4.43
aligned_training_1,cursor,26,0,3.06,20.51,-5.5,6.3,-2.94,10.27,-0.61,3.37,-1.22,0.2,0.39,-4.4,-3.14
aligned_training_1,cursor,27,0,-3.32,-23.3,2.15,2.94,7.85,0.28,-1.9,5.5,4.66,-0.28,-6.6,-2,-6.68
aligned_training_1,cursor,28,0,-1.96,7.37,6.13,18.71,1.08,-0.19,3.92,6.8,3.87,4.49,-0.38,1.89,0
aligned_training_1,cursor,29,0,-2.91,11.6,-3.06,-4.11,3.37,3.52,0.2,-0.84,4.75,-3.69,2.12,9.36,2.17
aligned_training_1,cursor,30,0,0.4,-3.26,5.06,-4.05,-1.12,1.38,3.38,-3.97,2.22,2.56,-5.07,-3.2,-8.13
aligned_training_1,cursor,31,0,3.84,-19.65,4.09,nan,-0.85,-5.65,7.83,-2.9,1.87,0.54,5.54,0.57,-4.13
aligned_training_1,cursor,32,0,-6.29,-2.1,-2.37,3.79,-8.08,1.09,-1.12,8.52,13.15,1.89,-3.07,0.84,4.56
aligned_training_1,cursor,33,0,3.51,2.05,3.47,3.51,1.95,2.83,1.6,15.14,0.42,-3.3,-0.92,6.25,-2.08
aligned_training_1,cursor,34,0,-0.62,3.25,0.89,1.37,6.34,-6.29,3.37,3.54,0,1.34,-1.49,13.22,-0.81
aligned_training_1,cursor,35,0,3.06,2.73,-2.35,0,3.05,-3.66,0.76,13.34,4.64,5.58,-3.07,-9.17,-0.62
aligned_training_1,cursor,36,0,-4.01,-2.24,-1.08,-4.63,-1.68,1.86,-2.69,-2.47,4.28,5.36,1.1,-2.44,2.66
aligned_training_1,cursor,37,0,-0.61,-10.12,0.2,4.64,6.38,0,-1.78,-1.16,0,-0.92,-3.3,1.06,0
aligned_training_1,cursor,38,0,5.12,3.76,2.6,1.89,-0.73,-4.16,1.27,12.79,-0.18,0.55,0.53,4.37,3.01
aligned_training_1,cursor,39,0,-2.17,-1.22,-3.93,1.2,9.29,4.1,5.5,-1.77,-0.85,0.95,1.57,-0.39,0.81
aligned_training_1,cursor,40,0,-0.9,12.25,-3.01,16.95,-1.91,1.08,0.58,-1.74,2.51,3.81,-2.21,1.54,-1.86
aligned_training_1,cursor,41,0,-3.67,-7.82,-3.52,0.59,-0.54,0,2.63,12.15,0.57,0.98,-1.63,-1.61,2.97
aligned_training_1,cursor,42,0,5.19,6.31,2.65,0.42,-3.87,10.42,4.27,5.54,-1.19,-1.11,-0.88,0.65,-4.32
aligned_training_1,cursor,43,0,-1.54,-3.95,-1.46,-7.31,-3.9,3.41,-2.09,5.19,12.09,-3.32,-3.04,-0.2,1.28
aligned_training_1,cursor,44,0,0,-0.18,1.83,0.25,-6.22,4.1,5.57,10.22,2.15,-5.23,-3.66,2.33,-3.45
aligned_training_1,cursor,45,0,2.76,4.27,5.45,6.73,4.46,1.5,-1.16,3.37,-6.47,7.96,3.67,1.46,4.09
no-cursor_baseline_1,no_cursor,1,0,3.2,3.47,-7.79,0.57,-2.35,-0.26,1.68,-1.98,6.57,11,-6.64,3.92,-7.3
no-cursor_baseline_1,no_cursor,2,0,7.5,-1.07,-3.59,-1.15,0.41,0.79,0.29,4.61,2.58,-4.66,-20.16,-4.38,1.62
no-cursor_baseline_1,no_cursor,3,0,-10.15,3.84,-1.6,4.46,-3.59,6.39,9.02,12.69,-4.46,4.3,-11.31,-8.43,5.74
no-cursor_baseline_1,no_cursor,4,0,-1.7,3.99,1.16,9.23,-4.75,-1.97,0.3,5.79,-1.93,13.26,-8.64,4.46,3.89
no-cursor_baseline_1,no_cursor,5,0,-5.81,15.6,2.39,-1.22,0.84,0.2,-2.06,0.4,5.08,-1.31,0.81,-8.41,-1.92
no-cursor_baseline_1,no_cursor,6,0,13.74,4.85,-1.21,0,-6.2,3.46,7.05,15.08,0.55,-5.92,-5.31,1.19,2.81
no-cursor_baseline_1,no_cursor,7,0,6.37,3.06,3.28,7.33,-6.66,-2.15,4.88,3.9,-0.65,1.93,3.26,-7.66,-8.52
no-cursor_baseline_1,no_cursor,8,0,-5.12,1.9,-3.95,4.93,2.28,2.14,-2.15,6.8,-7.41,-3.53,2.71,-2.11,-8.93
no-cursor_baseline_1,no_cursor,9,0,10.67,4.28,-5.12,-0.86,0.41,-2.35,-2.17,10.8,4.27,0.42,-3.87,11.46,-1.46
aligned_training_2,cursor,1,0,-5.55,7.85,-0.92,2.74,-8.36,0.43,1.26,8.71,-5.05,4.33,0.8,-0.54,10.17
aligned_training_2,cursor,2,0,3.27,-1.04,4.1,14.14,-3.01,8.64,2.67,-5.19,-2,2.12,-1.4,7.28,-0.3
aligned_training_2,cursor,3,0,8.41,2.22,-3.01,6.16,-4.53,3.69,-0.43,0,-1.77,-1.07,6.18,-2.86,0.42
aligned_training_2,cursor,4,0,-3.39,-2.3,-8,3.87,-2.89,12.66,1.06,8.6,4.16,-6.81,-3.55,4.48,1.29
aligned_training_2,cursor,5,0,9.59,2.1,-0.65,1.83,6.22,-2.51,3.14,8.99,-2.39,-3.81,-2.52,-9.09,-4.82
aligned_training_2,cursor,6,0,6.02,25.37,4.71,3.41,-4.34,-0.55,1.8,6.67,4.25,3.47,-0.86,2.31,-1.34
aligned_training_2,cursor,7,0,4.4,-5.01,-1.29,-9.64,-3.91,10.8,1.61,2.14,6.34,1.92,-0.84,-5.81,3.18
aligned_training_2,cursor,8,0,8.13,31.08,6.62,6.13,5.3,5.92,6.08,11.87,-2.41,0.53,-7.1,5.03,-5.37
aligned_training_2,cursor,9,0,-6,-4.01,-4.59,3.03,5.23,1.34,0.2,9.57,-3.51,-1.24,1.05,-1.21,-3.06
aligned_training_2,cursor,10,0,-2.86,0.96,-1.83,2.54,-8.59,2.84,-4.62,17.05,-7.48,9.17,-0.3,6.06,0.21
aligned_training_2,cursor,11,0,-0.57,-11.36,2.78,6.34,1.19,-1.64,7.38,3.01,5.1,3.81,-0.18,2.31,2.46
aligned_training_2,cursor,12,0,2.8,-41.22,-0.19,5.23,-3.14,6.25,4.21,14.57,10.93,7.05,1.4,-1.72,-1.22
aligned_training_2,cursor,13,0,-0.54,-4.3,3.9,8.03,-1.9,10.27,1.64,6.18,8.69,-7.19,nan,-3.53,4.31
aligned_training_2,cursor,14,0,-1.4,-24.99,-1.62,2.94,4.83,-0.56,1.19,-3.28,3.32,-3.39,-0.64,2.69,-9.19
