task,task_type,trial,rotation_angle_deg,12,14,28,16,18,6,22,27,4,24,20,10
aligned_training_1,cursor,32,0,4.38,10.76,-0.57,4.1,8.19,1.6,-2.14,1.43,5.08,-0.65,-0.5,-1.19
aligned_training_1,cursor,33,0,2.82,7.73,8.19,-1.42,11.37,0,6.63,1.07,0.54,4.16,5,8.07
aligned_training_1,cursor,34,0,2.77,7.98,2.05,0.25,3.7,4.16,-2.18,4.82,-1.54,5.16,1.61,1.71
aligned_training_1,cursor,35,0,-1.66,6.34,2.58,4.32,1.06,-2.51,3.92,-7.65,9.56,4.54,7.77,-2.79
aligned_training_1,cursor,36,0,4.31,6.83,9.74,1.65,-9.74,4.73,1.85,-1.64,1.8,2.18,0.21,5.39
aligned_training_1,cursor,37,0,1.25,11.15,3.24,4.28,0.4,-0.86,0,3.87,nan,6.89,-1.77,-20.56
aligned_training_1,cursor,38,0,2.9,5.31,5.25,5.01,0.25,6.68,4.67,0.79,0,-1.46,4.46,-3.54
aligned_training_1,cursor,39,0,-1.44,5.33,3.49,4.82,9.88,9.52,6.27,-1.5,-2.08,-1.79,6.84,4.4
aligned_training_1,cursor,40,0,4.7,13.76,4.31,3.84,9.53,nan,nan,4.06,-5.26,0.55,2.11,4.32
aligned_training_1,cursor,41,0,12.15,2.41,1.37,5.48,-3.47,-2.19,-0.54,1.26,9.58,6.2,1.43,2.14
aligned_training_1,cursor,42,0,-2.12,4.57,-1.71,4.24,2.75,4.46,-1.88,-3.54,-2.05,-1.87,0.78,0.19
aligned_training_1,cursor,43,0,1.51,4.1,3.65,-1.64,7.09,-3.4,2.71,-2.41,12.14,5.71,-8.43,-1.13
aligned_training_1,cursor,44,0,4.69,9.06,2.22,13.04,8.94,1.13,3.38,1.93,-1.3,-2.26,-0.8,nan
aligned_training_1,cursor,45,0,-1.39,3.27,0.84,1.71,11.72,8.66,5.49,-0.64,-0.21,-2.23,1.11,-33.99
no-cursor_baseline_1,no_cursor,1,0,4.72,-2.37,6.84,4.8,2.47,-3.11,0.64,1.82,-3.32,6.67,-3.25,4
no-cursor_baseline_1,no_cursor,2,0,-1.4,-5.13,3.32,4.51,4.1,1.55,7.91,7.38,7.01,-2.37,-1.77,2.52
no-cursor_baseline_1,no_cursor,3,0,1.36,0,7.31,-0.56,-0.8,-2,2.22,-4.42,7.36,1.06,2.16,-26.75
no-cursor_baseline_1,no_cursor,4,0,-0.85,-0.19,-1.4,10.53,-0.73,17.91,3.67,0,14.56,0.91,-1.42,8.81
no-cursor_baseline_1,no_cursor,5,0,4.76,6.66,5.38,-3.62,1.38,-1.95,2.29,1.84,2.64,-3.76,6.34,6.01
no-cursor_baseline_1,no_cursor,6,0,6.11,9.54,1.81,-2.22,3.31,3.92,-1.08,-1.07,3.87,-0.65,-0.43,6.09
no-cursor_baseline_1,no_cursor,7,0,2.74,1.68,1.97,5.6,-0.63,5.17,9.85,-1.5,13.99,2.4,-10.92,-7.89
no-cursor_baseline_1,no_cursor,8,0,-0.91,8.48,13.04,-1.34,1.9,5.12,7.67,7.89,11.42,3.37,5.36,2.74
no-cursor_baseline_1,no_cursor,9,0,5.23,2.05,0.84,11.63,4.28,-1.31,10.23,-7.26,1.13,-7.31,5.78,1.78
aligned_training_2,cursor,1,0,3.01,5.61,-1.3,10.85,-0.85,-4.56,-5.23,-0.6,-0.19,-2.78,1.06,0.86
aligned_training_2,cursor,2,0,4.37,nan,3.49,-6.6,0.8,3.09,-0.26,1.62,5.87,-2.1,4.17,-2.97
aligned_training_2,cursor,3,0,3.7,9.8,3.7,2.68,10.9,2.05,9.99,6.81,5.01,2.92,-2.66,-3.7
aligned_training_2,cursor,4,0,9.68,6.97,5.19,4.11,-4.09,0,-5.41,-2.21,-3.53,1.45,2.03,12.95
aligned_training_2,cursor,5,0,4.47,5.04,0,3.81,5.06,-1.62,8.18,3.18,7.98,6.03,-1.31,7.08
aligned_training_2,cursor,6,0,1.72,0.4,3.89,1.7,6.71,6.05,nan,-10.38,1.56,-4.48,-2.27,-34.35
aligned_training_2,cursor,7,0,6.93,5.43,6.48,6.91,3.07,-14.18,-0.79,2.23,10.46,-2.91,-3.98,11.37
aligned_training_2,cursor,8,0,7.65,5.42,1.25,3.41,1.81,16.88,4.25,5.73,-8.07,-0.91,4.18,-12.12
aligned_training_2,cursor,9,0,9.54,1.95,8.43,3.98,3.18,4.38,8.62,1.3,8.79,3.16,2.07,23.35
aligned_training_2,cursor,10,0,5.64,8.17,5.01,-1.92,3.43,1.53,3.04,4.42,-7.41,-1.96,5.95,-21.69
aligned_training_2,cursor,11,0,0.81,7.1,1.72,4.14,4.07,2.2,3.97,-3.01,24.53,5.16,2.08,3.11
aligned_training_2,cursor,12,0,8.07,11.87,0.62,4.86,4.17,19.55,-2.71,4.98,2.78,0,3.3,1.31
aligned_training_2,cursor,13,0,0.25,8.87,-1.29,-3.93,0.59,1.02,1.07,2.06,6.54,-2.12,1.06,9.29
aligned_training_2,cursor,14,0,4.8,2.75,7.61,2.42,3.59,1.03,4.46,nan,9.66,9.98,3.84,6.74
aligned_training_2,cursor,15,0,4.59,9.01,-3.01,-0.81,5.37,5.02,1.35,2.31,-19.88,-3.62,1.47,-5.59
aligned_training_2,cursor,16,0,8.81,6.77,-0.43,1.37,7.61,-2.11,3.25,18.31,5.3,2.09,9.59,49.5
aligned_training_2,cursor,17,0,7.59,-8.59,1.45,-1.17,-4.04,0.29,6.1,-0.96,-1.56,2.71,-0.21,-11.9
aligned_training_2,cursor,18,0,5.1,8.05,-4.28,6.15,-4.93,0.71,1.2,5.74,-0.82,3.34,0,-0.25
aligned_training_2,cursor,19,0,-2.23,15.98,7.33,-2.94,0.42,1.19,10.01,-5.87,nan,2.51,1.19,-8.42
aligned_training_2,cursor,20,0,7.48,4.64,3.63,1.45,6.68,0.43,12.87,1.51,3,-5.57,2.36,-2.35
aligned_training_2,cursor,21,0,0.24,4.03,4.74,-2.34,-0.29,11.23,6.16,0.28,5.16,2.12,3.52,2.54
no-cursor_baseline_2,no_cursor,1,0,-4.11,0.26,-3.87,-6.51,3.28,-6.53,-5.61,-4.97,0.81,3.3,-2.31,-5.38
no-cursor_baseline_2,no_cursor,2,0,5.99,-0.38,8.69,1.25,1.25,-2.15,0.96,-5.23,2.85,2,-0.53,-2.64
no-cursor_baseline_2,no_cursor,3,0,2.48,13.77,15.82,-2.42,4.01,11.45,6.65,3.74,12.81,0,1.65,5.68
no-cursor_baseline_2,no_cursor,4,0,4.94,6.73,-0.63,-2,-2.83,10.75,2.41,-14.98,11.08,-10.49,6.34,-1.74
no-cursor_baseline_2,no_cursor,5,0,6.46,-3.52,4.43,5.53,1.35,6.75,0.42,6.63,2.44,-6.52,1.15,-0.63
no-cursor_baseline_2,no_cursor,6,0,5.34,8.56,6.07,2.73,7.86,-11.47,7.45,0,3.87,5.31,-8.65,5.58
no-cursor_baseline_2,no_cursor,7,0,6.26,1.25,9.28,1.96,7.65,6.61,2.88,4.63,9.33,7.2,0.38,-8.47
no-cursor_baseline_2,no_cursor,8,0,3.87,0.54,11.09,2.5,2.11,-2.9,5,7.87,6.51,0.9,5.54,0.77
no-cursor_baseline_2,no_cursor,9,0,4.86,8.07,3.68,6.96,5.76,-1.27,1.92,2.36,1.19,-1.21,10.18,0.55
rotated_training_60,cursor,1,-60,43.72,nan,nan,3.5,nan,11.31,21.27,nan,11.49,34.03,13.26,5.83
rotated_training_60,cursor,2,-60,54.81,36.91,39.35,0.6,29.41,18.32,35.49,14.83,60.82,27.63,19.59,15.57
rotated_training_60,cursor,3,-60,nan,45.85,51.73,1.76,41.72,nan,45.87,39.11,5.61,20.76,nan,-7.52
rotated_training_60,cursor,4,-60,75.96,49.85,55.51,-5.19,32.63,26.57,42.69,33.33,47.78,28.33,nan,13.74
rotated_training_60,cursor,5,-60,61.39,48.54,44.7,13.67,46.3,25.22,29.22,45,52.06,29.14,74.26,2.12
rotated_training_60,cursor,6,-60,49.19,46.81,64.39,21.23,49.24,38.5,25.71,41.11,19.51,20.98,44.7,19.64
rotated_training_60,cursor,7,-60,56.67,45.6,46.43,10.04,38.25,38.11,35.87,48.39,52.69,27.83,51.1,-35.58
rotated_training_60,cursor,8,-60,52.89,44.7,58.76,15.02,35.44,46.93,36.35,27.79,26.83,29.49,53.19,30.59
rotated_training_60,cursor,9,-60,53.85,49.53,63.56,11.31,36.7,32.85,40.58,54.03,33.92,27.11,43.2,1.12
rotated_training_60,cursor,10,-60,58.84,54.9,66.75,10.36,36.53,30.9,nan,54.87,60.03,31.18,47.73,32.54
rotated_training_60,cursor,11,-60,54.23,51.04,79.68,17.73,20.59,46.79,11.48,59.09,36.58,30.24,50.5,0.86
rotated_training_60,cursor,12,-60,53.34,50.38,57.39,36.09,51.97,34.28,27.41,65.66,60.63,nan,53.22,45.56
rotated_training_60,cursor,13,-60,63.31,54.46,69.44,17.96,51.6,63.56,24.97,56.08,38.66,43.3,45.6,36.45
rotated_training_60,cursor,14,-60,58.38,56.43,61.03,19.77,29.56,44.41,30.63,41.07,15.92,38.72,52.52,-16.76
rotated_training_60,cursor,15,-60,55.77,54.11,69.05,12.67,43.26,30.44,32.22,53.68,66.44,26.94,52.31,15.6
rotated_training_60,cursor,16,-60,57.37,56.77,64.71,29.26,39.12,45.9,39.07,55.03,42.23,35.16,56.06,-6.1
rotated_training_60,cursor,17,-60,54.46,56.37,60.05,39.14,51.07,34.8,39.49,54.14,46.76,42.17,49.89,9.17
rotated_training_60,cursor,18,-60,48.44,53.68,41.17,30.04,35.87,43.94,39.14,47.39,34.62,40.44,53.86,29.64
rotated_training_60,cursor,19,-60,64.77,55.03,63.3,29.69,43.1,55.25,39.26,59.48,37.48,26.66,44.39,47.4
