task_num,trial_num,rotation_angle,targetangle_deg,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px,ppt,stratuse,exp,angular_dev
7,2,0,45,0,-10.691,21.599,21.599,1.5501e+12,7.9636,6.7636,7.9636,6.7636,1_abruptExp,0,abruptExp,20.4753235293996
7,3,0,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-1.0364,8.2364,-1.0364,8.2364,1_abruptExp,0,abruptExp,3.1341919665258
7,4,0,135,0,-10.691,-21.599,21.599,1.5501e+12,-11.836,8.0727,-11.836,8.0727,1_abruptExp,0,abruptExp,-12.7565811051739
7,5,0,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,0.21818,10.036,0.21818,10.036,1_abruptExp,0,abruptExp,-0.603094103854403
7,6,0,45,0,-10.691,21.599,21.599,1.5501e+12,7.4182,6.0545,7.4182,6.0545,1_abruptExp,0,abruptExp,21.1068190062597
7,7,0,45,0,-10.691,21.599,21.599,1.5501e+12,4.7455,5.4,4.7455,5.4,1_abruptExp,0,abruptExp,28.5683466506573
7,8,0,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,0.54545,10.036,0.54545,10.036,1_abruptExp,0,abruptExp,-1.50744302823131
7,9,0,135,0,-10.691,-21.599,21.599,1.5501e+12,-7.5818,7.4727,-7.5818,7.4727,1_abruptExp,0,abruptExp,-22.3436133174888
11,1,0,135,0,-10.691,-21.599,21.599,1.5501e+12,-7.0364,8.0727,-7.0364,8.0727,1_abruptExp,0,abruptExp,-24.4439213169303
11,2,0,45,0,-10.691,21.599,21.599,1.5501e+12,8.6182,8.6727,8.6182,8.6727,1_abruptExp,0,abruptExp,21.0075931519893
11,3,0,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-0.70909,12.982,-0.70909,12.982,1_abruptExp,0,abruptExp,1.71569806107755
11,4,0,45,0,-10.691,21.599,21.599,1.5501e+12,6.9818,6.3818,6.9818,6.3818,1_abruptExp,0,abruptExp,22.758242243045
11,5,0,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-0.54545,7.9091,-0.54545,7.9091,1_abruptExp,0,abruptExp,1.67972371371876
11,6,0,135,0,-10.691,-21.599,21.599,1.5501e+12,-7.4182,7.6909,-7.4182,7.6909,1_abruptExp,0,abruptExp,-23.0229667159811
11,7,0,45,0,-10.691,21.599,21.599,1.5501e+12,8.1818,8.1273,8.1818,8.1273,1_abruptExp,0,abruptExp,21.5016124552526
11,8,0,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,0.6,8.4,0.6,8.4,1_abruptExp,0,abruptExp,-1.80012339213386
11,9,0,135,0,-10.691,-21.599,21.599,1.5501e+12,-7.9636,5.2364,-7.9636,5.2364,1_abruptExp,0,abruptExp,-18.4352366083655
22,1,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-17.018,6.1636,-17.018,6.1636,10_abruptExp,0,abruptExp,0.27639029046324
22,2,-60,45,0,-10.691,21.599,21.599,1.5513e+12,7.3636,10.364,7.3636,10.364,10_abruptExp,0,abruptExp,25.7236520537687
22,3,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-1.4727,13.309,-1.4727,13.309,10_abruptExp,0,abruptExp,3.51140945092483
22,4,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-10.2,7.5272,-10.2,7.5272,10_abruptExp,0,abruptExp,-15.7564219417098
22,5,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.1273,16.691,-2.1273,16.691,10_abruptExp,0,abruptExp,4.44236999547351
22,6,-60,45,0,-10.691,21.599,21.599,1.5513e+12,8.509,8.8363,8.509,8.8363,10_abruptExp,0,abruptExp,21.4548870952147
22,7,-60,45,0,-10.691,21.599,21.599,1.5513e+12,5.8363,8.1818,5.8363,8.1818,10_abruptExp,0,abruptExp,27.8160906417417
22,8,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-8.0181,5.7818,-8.0181,5.7818,10_abruptExp,0,abruptExp,-19.045596546947
22,9,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,1.4182,13.254,1.4182,13.254,10_abruptExp,0,abruptExp,-3.38952018128357
18,1,-60,45,0,-10.691,21.599,21.599,1.5513e+12,6.4909,10.145,6.4909,10.145,10_abruptExp,0,abruptExp,27.6969702941326
18,2,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-2.4,3.0545,-2.4,3.0545,10_abruptExp,0,abruptExp,-35.095848890304
18,3,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,0.27273,9.0545,0.27273,9.0545,10_abruptExp,0,abruptExp,-0.791333941442986
18,4,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-0.6,9.9818,-0.6,9.9818,10_abruptExp,0,abruptExp,1.66246564143454
18,5,-60,45,0,-10.691,21.599,21.599,1.5513e+12,6.4909,6.2727,6.4909,6.2727,10_abruptExp,0,abruptExp,24.061415824179
18,6,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-3.8182,2.6182,-3.8182,2.6182,10_abruptExp,0,abruptExp,-28.9926478692382
18,7,-60,45,0,-10.691,21.599,21.599,1.5513e+12,10.309,10.309,10.309,10.309,10_abruptExp,0,abruptExp,18.8533586320695
18,8,-60,135,0,-10.691,-21.599,21.599,1.5513e+12,-14.236,8.0727,-14.236,8.0727,10_abruptExp,0,abruptExp,-7.81244659900041
18,9,-60,90,0,-10.691,1.8704e-15,30.545,1.5513e+12,-2.2364,12.818,-2.2364,12.818,10_abruptExp,0,abruptExp,5.4341672592987
